feature_set,model,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
selected_top25,Random Forest,0.9984323854544864,0.9984334344619132,0.9984323854544864,0.9984301739491726,0.9790650350150109,0.9655160990158285,0.972020526079556
all_features,Random Forest,0.998408018389012,0.9984047687251096,0.998408018389012,0.9984041282097775,0.9748952981743852,0.9611631337024925,0.9677646407821343
all_features,Decision Tree,0.9978313311727869,0.9978469383574242,0.9978313311727869,0.9978372808479979,0.9554066456892462,0.9626048803522728,0.9585143011494419
selected_top25,Decision Tree,0.9976039052283601,0.9976041778839807,0.9976039052283601,0.9976035393633989,0.9644032861630204,0.9629669141600973,0.9636417499205875
all_features,Naive Bayes,0.801018543336826,0.913166081992656,0.801018543336826,0.8228238054801905,0.46195854269222897,0.5131031046938644,0.38482058188116436
selected_top25,Naive Bayes,0.8003525102138616,0.8972276717341056,0.8003525102138616,0.8218602047405555,0.5172594371234099,0.5306186164385226,0.42389912779516276
