feature,score
service,0.0933067996566385
fwd_URG_flag_count,0.0835948992638945
id.orig_p,0.07108987492827326
flow_FIN_flag_count,0.05091476558936205
fwd_init_window_size,0.048161158215286215
fwd_pkts_payload.max,0.04706776607545577
payload_bytes_per_second,0.04630514919261325
id.resp_p,0.03365283203113695
flow_SYN_flag_count,0.027739863194698223
fwd_pkts_per_sec,0.0276190252013627
flow_pkts_per_sec,0.027529050089804972
fwd_pkts_payload.avg,0.027440620911332505
bwd_pkts_per_sec,0.02743933642386845
flow_pkts_payload.std,0.026066133630121252
fwd_pkts_payload.min,0.02599102711074336
flow_pkts_payload.avg,0.02388222122730971
fwd_last_window_size,0.020504659133089895
fwd_pkts_payload.std,0.02033494141909215
flow_RST_flag_count,0.017774982690806473
flow_pkts_payload.max,0.016191543013278208
fwd_header_size_min,0.016089215967461306
fwd_header_size_max,0.015650262640489337
fwd_iat.max,0.015598423594663827
flow_iat.max,0.015551832902315021
idle.max,0.015026518460865798
idle.avg,0.014246472749412702
idle.min,0.013883363455593122
bwd_pkts_payload.max,0.011085155325783934
flow_pkts_payload.min,0.01087217837306525
bwd_pkts_payload.std,0.00971185159657281
flow_iat.std,0.009481416260753786
bwd_init_window_size,0.009397020520838061
bwd_header_size_min,0.009133860309946602
bwd_header_size_max,0.009016814866276705
down_up_ratio,0.008833268037591338
fwd_iat.std,0.007625061168384132
flow_iat.avg,0.006757525180712911
bwd_pkts_payload.avg,0.0063567946890755464
fwd_subflow_pkts,0.005768570767865782
bwd_iat.max,0.004576886347001878
fwd_subflow_bytes,0.0037695585310812602
bwd_iat.avg,0.003430195375463402
fwd_bulk_packets,0.00335473853476579
fwd_iat.avg,0.0028584083137488917
bwd_iat.std,0.0027640186239233137
flow_CWR_flag_count,0.0021269772575338865
flow_iat.tot,0.0021113841145089882
flow_duration,0.0021111829996250334
fwd_iat.tot,0.002105821805044011
active.min,0.0020593385352309247
idle.std,0.00199707436143564
idle.tot,0.001979728949659768
flow_ECE_flag_count,0.0018715897551165267
active.avg,0.001719634127480551
fwd_pkts_tot,0.0016697315980828858
fwd_data_pkts_tot,0.0014596048636416102
fwd_header_size_tot,0.0013945873089051483
fwd_PSH_flag_count,0.0013119129656818304
fwd_pkts_payload.tot,0.0013018041650836607
active.tot,0.0012334794870134133
active.max,0.0012027270347932
bwd_iat.tot,0.0011712987259807665
bwd_PSH_flag_count,0.0007588237553527214
flow_iat.min,0.0006486439938254914
bwd_bulk_rate,0.0004479684749680715
bwd_subflow_pkts,0.0004363783750100433
active.std,0.0003668483962402513
bwd_pkts_payload.min,0.00033807911977485505
fwd_bulk_bytes,0.0003347760362199381
flow_ACK_flag_count,0.00031739336135508514
bwd_pkts_tot,0.00015487854810257264
fwd_bulk_rate,0.00014376541114733681
bwd_header_size_tot,0.00012134396768196136
bwd_data_pkts_tot,0.00010476814231041001
flow_pkts_payload.tot,7.594669077238694e-05
bwd_subflow_bytes,5.520935040572954e-05
fwd_iat.min,5.386164386305241e-05
bwd_bulk_packets,1.0876890049370259e-05
bwd_bulk_bytes,8.049680989942727e-06
bwd_pkts_payload.tot,7.2394418178731945e-06
bwd_URG_flag_count,0.0
proto,0.0
bwd_iat.min,-0.0014437387081253194
